FM;Climate;Year;Fert;Soil;Crop;FMSoil;FMCrop;FMFert;Y;WPET
Restr;Mekelle;Normal;Poor  ;CL;Long;Restr_CL;Restr_Long;Restr_Poor  ;-61.1;-54.9
Restr;Mekelle;Normal;ANon limiting  ;CL;Medium;Restr_CL;Restr_Medium;Restr_ANon limiting  ;-58.8;-51.0
Restr;Mekelle;Normal;Moderate  ;CL;Medium;Restr_CL;Restr_Medium;Restr_Moderate  ;-53.3;-45.9
Restr;Mekelle;Normal;Poor  ;CL;Medium;Restr_CL;Restr_Medium;Restr_Poor  ;-51.4;-46.5
Restr;Mekelle;Normal;ANon limiting  ;CL;Short;Restr_CL;Restr_Short;Restr_ANon limiting  ;-52.9;-44.5
Restr;Mekelle;Normal;Moderate  ;CL;Short;Restr_CL;Restr_Short;Restr_Moderate  ;-39.6;-32.0
Restr;Mekelle;Normal;Poor  ;CL;Short;Restr_CL;Restr_Short;Restr_Poor  ;-35.9;-29.1
Restr;Mekelle;Normal;ANon limiting  ;LS;Long;Restr_LS;Restr_Long;Restr_ANon limiting  ;-81.7;-80.6
Restr;Mekelle;Normal;Moderate  ;LS;Long;Restr_LS;Restr_Long;Restr_Moderate  ;-80.6;-77.8
Restr;Mekelle;Normal;Poor  ;LS;Long;Restr_LS;Restr_Long;Restr_Poor  ;-77.4;-73.8
Restr;Mekelle;Normal;ANon limiting  ;LS;Medium;Restr_LS;Restr_Medium;Restr_ANon limiting  ;-81.7;-80.5
Restr;Mekelle;Normal;Moderate  ;LS;Medium;Restr_LS;Restr_Medium;Restr_Moderate  ;-81.0;-78.2
Restr;Mekelle;Normal;Poor  ;LS;Medium;Restr_LS;Restr_Medium;Restr_Poor  ;-75.0;-72.5
Restr;Mekelle;Normal;ANon limiting  ;LS;Short;Restr_LS;Restr_Short;Restr_ANon limiting  ;-80.7;-79.8
Restr;Mekelle;Normal;Moderate  ;LS;Short;Restr_LS;Restr_Short;Restr_Moderate  ;-75.3;-74.0
Restr;Mekelle;Normal;Poor  ;LS;Short;Restr_LS;Restr_Short;Restr_Poor  ;-67.0;-64.5
Restr;Mekelle;Normal;ANon limiting  ;S;Long;Restr_S;Restr_Long;Restr_ANon limiting  ;-12.6;-5.9
Restr;Mekelle;Normal;Moderate  ;S;Long;Restr_S;Restr_Long;Restr_Moderate  ;-2.8;3.9
Restr;Mekelle;Normal;Poor  ;S;Long;Restr_S;Restr_Long;Restr_Poor  ;4.3;7.0
Restr;Mekelle;Normal;ANon limiting  ;S;Medium;Restr_S;Restr_Medium;Restr_ANon limiting  ;-10.8;-3.5
Restr;Mekelle;Normal;Moderate  ;S;Medium;Restr_S;Restr_Medium;Restr_Moderate  ;-0.5;3.2
Restr;Mekelle;Normal;Poor  ;S;Medium;Restr_S;Restr_Medium;Restr_Poor  ;-5.5;-3.4
Restr;Mekelle;Normal;ANon limiting  ;S;Short;Restr_S;Restr_Short;Restr_ANon limiting  ;-14.7;-8.3
Restr;Mekelle;Normal;Moderate  ;S;Short;Restr_S;Restr_Short;Restr_Moderate  ;-7.3;-2.1
Restr;Mekelle;Normal;Poor  ;S;Short;Restr_S;Restr_Short;Restr_Poor  ;-3.9;-1.3
RWH;Mekelle;Normal;ANon limiting  ;CL;Long;RWH_CL;RWH_Long;RWH_ANon limiting  ;47.4;36.9
RWH;Mekelle;Normal;Moderate  ;CL;Long;RWH_CL;RWH_Long;RWH_Moderate  ;47.8;39.9
RWH;Mekelle;Normal;Poor  ;CL;Long;RWH_CL;RWH_Long;RWH_Poor  ;22.0;16.2
RWH;Mekelle;Normal;ANon limiting  ;CL;Medium;RWH_CL;RWH_Medium;RWH_ANon limiting  ;29.1;23.0
RWH;Mekelle;Normal;Moderate  ;CL;Medium;RWH_CL;RWH_Medium;RWH_Moderate  ;18.6;15.1
RWH;Mekelle;Normal;Poor  ;CL;Medium;RWH_CL;RWH_Medium;RWH_Poor  ;4.4;1.9
RWH;Mekelle;Normal;ANon limiting  ;CL;Short;RWH_CL;RWH_Short;RWH_ANon limiting  ;1.3;0.8
RWH;Mekelle;Normal;Moderate  ;CL;Short;RWH_CL;RWH_Short;RWH_Moderate  ;1.0;2.6
RWH;Mekelle;Normal;Poor  ;CL;Short;RWH_CL;RWH_Short;RWH_Poor  ;-3.2;-1.9
RWH;Mekelle;Normal;ANon limiting  ;LS;Long;RWH_LS;RWH_Long;RWH_ANon limiting  ;8.5;6.5
RWH;Mekelle;Normal;Moderate  ;LS;Long;RWH_LS;RWH_Long;RWH_Moderate  ;5.4;3.0
RWH;Mekelle;Normal;Poor  ;LS;Long;RWH_LS;RWH_Long;RWH_Poor  ;8.4;6.8
RWH;Mekelle;Normal;ANon limiting  ;LS;Medium;RWH_LS;RWH_Medium;RWH_ANon limiting  ;8.2;6.3
RWH;Mekelle;Normal;Moderate  ;LS;Medium;RWH_LS;RWH_Medium;RWH_Moderate  ;5.7;3.8
RWH;Mekelle;Normal;Poor  ;LS;Medium;RWH_LS;RWH_Medium;RWH_Poor  ;3.3;2.3
RWH;Mekelle;Normal;ANon limiting  ;LS;Short;RWH_LS;RWH_Short;RWH_ANon limiting  ;5.0;3.4
RWH;Mekelle;Normal;Moderate  ;LS;Short;RWH_LS;RWH_Short;RWH_Moderate  ;2.4;0.6
RWH;Mekelle;Normal;Poor  ;LS;Short;RWH_LS;RWH_Short;RWH_Poor  ;1.5;0.0
RWH;Mekelle;Normal;ANon limiting  ;S;Long;RWH_S;RWH_Long;RWH_ANon limiting  ;152.9;106.7
RWH;Mekelle;Normal;Moderate  ;S;Long;RWH_S;RWH_Long;RWH_Moderate  ;110.6;82.7
RWH;Mekelle;Normal;Poor  ;S;Long;RWH_S;RWH_Long;RWH_Poor  ;67.5;48.7
RWH;Mekelle;Normal;ANon limiting  ;S;Medium;RWH_S;RWH_Medium;RWH_ANon limiting  ;89.6;61.0
RWH;Mekelle;Normal;Moderate  ;S;Medium;RWH_S;RWH_Medium;RWH_Moderate  ;55.3;41.1
RWH;Mekelle;Normal;Poor  ;S;Medium;RWH_S;RWH_Medium;RWH_Poor  ;19.5;11.7
RWH;Mekelle;Normal;ANon limiting  ;S;Short;RWH_S;RWH_Short;RWH_ANon limiting  ;28.8;18.9
RWH;Mekelle;Normal;Moderate  ;S;Short;RWH_S;RWH_Short;RWH_Moderate  ;11.0;9.0
RWH;Mekelle;Normal;Poor  ;S;Short;RWH_S;RWH_Short;RWH_Poor  ;3.8;1.3
TAW+5;Mekelle;Normal;ANon limiting  ;CL;Long;TAW+5_CL;TAW+5_Long;TAW+5_ANon limiting  ;9.4;10.8
TAW+5;Mekelle;Normal;Moderate  ;CL;Long;TAW+5_CL;TAW+5_Long;TAW+5_Moderate  ;1.4;5.2
TAW+5;Mekelle;Normal;Poor  ;CL;Long;TAW+5_CL;TAW+5_Long;TAW+5_Poor  ;-5.6;0.7
TAW+5;Mekelle;Normal;ANon limiting  ;CL;Medium;TAW+5_CL;TAW+5_Medium;TAW+5_ANon limiting  ;-3.7;2.5
TAW+5;Mekelle;Normal;Moderate  ;CL;Medium;TAW+5_CL;TAW+5_Medium;TAW+5_Moderate  ;-2.3;4.9
TAW+5;Mekelle;Normal;Poor  ;CL;Medium;TAW+5_CL;TAW+5_Medium;TAW+5_Poor  ;-7.0;-1.9
TAW+5;Mekelle;Normal;ANon limiting  ;CL;Short;TAW+5_CL;TAW+5_Short;TAW+5_ANon limiting  ;-14.6;-7.8
TAW+5;Mekelle;Normal;Moderate  ;CL;Short;TAW+5_CL;TAW+5_Short;TAW+5_Moderate  ;-9.8;-2.6
TAW+5;Mekelle;Normal;Poor  ;CL;Short;TAW+5_CL;TAW+5_Short;TAW+5_Poor  ;-11.4;-5.7
TAW+5;Mekelle;Normal;ANon limiting  ;LS;Long;TAW+5_LS;TAW+5_Long;TAW+5_ANon limiting  ;98.5;73.1
TAW+5;Mekelle;Normal;Moderate  ;LS;Long;TAW+5_LS;TAW+5_Long;TAW+5_Moderate  ;104.1;78.8
TAW+5;Mekelle;Normal;Poor  ;LS;Long;TAW+5_LS;TAW+5_Long;TAW+5_Poor  ;81.8;63.1
TAW+5;Mekelle;Normal;ANon limiting  ;LS;Medium;TAW+5_LS;TAW+5_Medium;TAW+5_ANon limiting  ;87.6;66.4
TAW+5;Mekelle;Normal;Moderate  ;LS;Medium;TAW+5_LS;TAW+5_Medium;TAW+5_Moderate  ;67.6;50.4
TAW+5;Mekelle;Normal;Poor  ;LS;Medium;TAW+5_LS;TAW+5_Medium;TAW+5_Poor  ;44.9;32.1
TAW+5;Mekelle;Normal;ANon limiting  ;LS;Short;TAW+5_LS;TAW+5_Short;TAW+5_ANon limiting  ;54.4;38.2
TAW+5;Mekelle;Normal;Moderate  ;LS;Short;TAW+5_LS;TAW+5_Short;TAW+5_Moderate  ;36.5;25.4
TAW+5;Mekelle;Normal;Poor  ;LS;Short;TAW+5_LS;TAW+5_Short;TAW+5_Poor  ;22.8;15.8
TAW+5;Mekelle;Normal;ANon limiting  ;S;Long;TAW+5_S;TAW+5_Long;TAW+5_ANon limiting  ;-24.0;-23.0
TAW+5;Mekelle;Normal;Moderate  ;S;Long;TAW+5_S;TAW+5_Long;TAW+5_Moderate  ;-23.4;-21.3
TAW+5;Mekelle;Normal;Poor  ;S;Long;TAW+5_S;TAW+5_Long;TAW+5_Poor  ;-30.8;-26.1
TAW+5;Mekelle;Normal;ANon limiting  ;S;Medium;TAW+5_S;TAW+5_Medium;TAW+5_ANon limiting  ;-31.7;-29.7
TAW+5;Mekelle;Normal;Moderate  ;S;Medium;TAW+5_S;TAW+5_Medium;TAW+5_Moderate  ;-31.9;-27.2
TAW+5;Mekelle;Normal;Poor  ;S;Medium;TAW+5_S;TAW+5_Medium;TAW+5_Poor  ;-37.6;-32.4
TAW+5;Mekelle;Normal;ANon limiting  ;S;Short;TAW+5_S;TAW+5_Short;TAW+5_ANon limiting  ;-37.5;-32.7
TAW+5;Mekelle;Normal;Moderate  ;S;Short;TAW+5_S;TAW+5_Short;TAW+5_Moderate  ;-28.4;-21.2
TAW+5;Mekelle;Normal;Poor  ;S;Short;TAW+5_S;TAW+5_Short;TAW+5_Poor  ;-26.4;-20.1
